50	3	11
1	0.05	0.01
1	5	29	5	5	3	D
2	6	24	5	4	1	D
3	10	17	1	5	2	D
4	12	26	2	1	1	C
5	12	12	5	3	2	C
6	16	26	3	5	3	C
7	16	24	1	1	1	A
8	16	19	5	3	3	B
9	20	22	1	3	2	C
10	21	19	3	4	1	B
11	24	28	2	4	1	A
12	28	20	1	2	3	C
13	31	15	4	4	1	B
14	32	10	2	3	2	B
15	35	23	1	2	3	C
16	40	21	3	5	1	A
17	41	18	5	2	1	B
18	42	20	1	4	1	C
19	47	12	3	3	1	A
20	47	12	4	3	1	B
21	52	22	2	3	1	B
22	52	26	5	2	2	B
23	52	25	1	5	1	A
24	54	21	4	3	1	A
25	59	18	5	5	2	C
26	62	11	2	5	1	B
27	64	12	3	2	1	A
28	65	13	3	2	3	A
29	68	19	5	1	2	A
30	73	20	1	5	2	C
-1
